EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,END_DATE,END_TIME,EVENT_NARRATIVE,EPISODE_NARRATIVE
1221592,COASTAL LEE (ZONE), ,45574,1000,Hurricane,0,0,77000000,0,FL,EST-5,197468,Z,165,TBW,0,0,Official NWS Observations,45575,400,"Surface observations indicate peak wind gusts generally between 70 to 80 mph, with a maximum gust of 78 mph at Sanibel Island at 10:17 PM EST. Rainfall ranged from 2 to 4 inches, with a maximum total of 4.52 inches near Fort Myers. A peak water level of 5.27 feet above MHHW was measured at Fort Myers at 11:06 PM EST on October 9, the second-highest water level of record at the site behind only the 7.26 ft MHHW measured during Hurricane Ian on September 28, 2022. Peak water levels estimated elsewhere along coastal Lee County generally ranged from 3 to 6 feet above MHHW. Three tornadoes were confirmed in Lee County in association with Milton: an EF-2 in Fort Myers, and an EF-1 in Matlacha, and an EF-0 near Jonathan Harbour. Over $77 Million in damages were reported in the City of Fort Myers.","Hurricane Milton made landfall along the west-central Florida coast near Siesta Key at 7:30 PM EST on October 9th as a major, Category 3 hurricane with maximum sustained winds of 120 mph and a minimum pressure of 954 mb. 2 days prior to landfall on October 7th, Milton reached its peak intensity as a Category 5 hurricane with maximum sustained winds of 180 mph and a minimum pressure of 897 mb, making it the 5th most intense Atlantic hurricane of record in terms of pressure, and the strongest Atlantic hurricane since the 2005 Atlantic hurricane season. Milton would weaken due to an eyewall replacement cycle the following day before reattaining Category 5 status, before a weakening trend ensued early on the 9th and persisted through landfall due to increasing vertical wind shear and dry air. Milton produced wide ranging impacts across the western Florida panhandle from all commonly associated tropical cyclone hazards.|Milton produced a widespread swath of wind gusts of 80 to 100 mph across Pinellas, Hillsborough, Manatee and Sarasota counties, affecting the heavily populated Tampa-St. Petersburg metro area along with other large population centers including Bradenton and Sarasota. Wind gusts over 60 mph extended well into southwest Florida and up into the Nature Coast as well. Widespread significant structural and tree damage resulted from the strong winds, leading to numerous power outages that saw a peak of over 3.5 million customers without power. |Official storm surge measured by tidal gauges ranged from around 5 to 7 feet above normally dry ground in Sarasota, Charlotte and Lee counties, south of where the center moved ashore; however, peak water levels were estimated to have reached up to 10 feet above normally dry ground per NWS storm surveys following the storm, with numerous homes and structures damaged or destroyed by the storm surge across coastal Sarasota, Charlotte and Lee counties. Offshore winds north of Milton's center produced blowout tide conditions resulting in lower than normal water levels, which occurred from around Tampa Bay extending northward across coastal Nature Coast locations.|Milton produced a widespread swath of heavy rainfall just north of its track across the peninsula, with maximum storm totals of generally 12 to 18 inches and some local totals in excess of 20 inches, spanning from the Tampa Bay area north and east into parts of Pasco, Polk and Sumter counties. These heavy rains resulted in widespread flash flooding and eventually led to moderate to major river flooding, with some river gauge sites establishing new record crests as a result.|Prior to landfall, at least a dozen tornadoes impacted west central and southwest Florida as outer rainbands moved across the area, establishing a new record number of tornadoes to affect the area in a 24-hour period. The strongest of these tornadoes were two EF-2 tornadoes, one that tracked through the Fort Myers area, and another that tracked across the Lake Placid area. While the tornadoes were responsible for structural and agricultural damage, only an injury was reported.|Milton's overall impacts across the western Florida peninsula resulted in 7 direct fatalities, 4 indirect fatalities, and over $3 billion in insured losses. Over 200 homes were destroyed, with over 2,000 suffering major damage, and 5,000 suffering minor damage. Over 400 businesses were impacted by Milton."
1221581,PINELLAS (ZONE), ,45574,1000,Hurricane,0,0,43000000,0,FL,EST-5,197468,Z,50,TBW,0,0,Official NWS Observations,45575,700,"Surface observations indicate peak wind gusts generally between 80 to 100 mph, with a maximum gust of 101 mph at Albert Whitted Airport at 9:29 PM EST on October 9. Rainfall generally ranged from 10 to 15 inches with a few pockets of 15 to 20 inches over southern and southeastern parts of the county, with a maximum total of 20.4 inches observed near St. Petersburg. Albert Whitted Airport (KSPG) shattered its previous 1-day total rainfall amount with 18.54 inches recorded on October 9, nearly tripling the previous record of 6.93 inches set on September 14, 2001 in association with Tropical Storm Gabrielle. Site records date back to 1998. St. Petersburg-Clearwater International Airport (KPIE) recorded its second-highest 1-day total rainfall amount with 9.18 inches on October 9, behind the record of 9.6 inches set on July 18, 2004. Site records date back to 1998. A peak water level of 1.3 feet above MHHW was measured at Clearwater Beach at 11:24 AM EST on October 9. Peak water levels measured elsewhere along coastal Pinellas County generally ranged around a foot or less above MHHW, although blowout tide conditions were observed with below normal water levels for a period of time. 430 businesses were impacted resulting in an estimated $43 million in damage, while 274 residences were deemed destroyed, 2,285 received major damage, 5,376 received minor damage, and another 4,897 were affected.","Hurricane Milton made landfall along the west-central Florida coast near Siesta Key at 7:30 PM EST on October 9th as a major, Category 3 hurricane with maximum sustained winds of 120 mph and a minimum pressure of 954 mb. 2 days prior to landfall on October 7th, Milton reached its peak intensity as a Category 5 hurricane with maximum sustained winds of 180 mph and a minimum pressure of 897 mb, making it the 5th most intense Atlantic hurricane of record in terms of pressure, and the strongest Atlantic hurricane since the 2005 Atlantic hurricane season. Milton would weaken due to an eyewall replacement cycle the following day before reattaining Category 5 status, before a weakening trend ensued early on the 9th and persisted through landfall due to increasing vertical wind shear and dry air. Milton produced wide ranging impacts across the western Florida panhandle from all commonly associated tropical cyclone hazards.|Milton produced a widespread swath of wind gusts of 80 to 100 mph across Pinellas, Hillsborough, Manatee and Sarasota counties, affecting the heavily populated Tampa-St. Petersburg metro area along with other large population centers including Bradenton and Sarasota. Wind gusts over 60 mph extended well into southwest Florida and up into the Nature Coast as well. Widespread significant structural and tree damage resulted from the strong winds, leading to numerous power outages that saw a peak of over 3.5 million customers without power. |Official storm surge measured by tidal gauges ranged from around 5 to 7 feet above normally dry ground in Sarasota, Charlotte and Lee counties, south of where the center moved ashore; however, peak water levels were estimated to have reached up to 10 feet above normally dry ground per NWS storm surveys following the storm, with numerous homes and structures damaged or destroyed by the storm surge across coastal Sarasota, Charlotte and Lee counties. Offshore winds north of Milton's center produced blowout tide conditions resulting in lower than normal water levels, which occurred from around Tampa Bay extending northward across coastal Nature Coast locations.|Milton produced a widespread swath of heavy rainfall just north of its track across the peninsula, with maximum storm totals of generally 12 to 18 inches and some local totals in excess of 20 inches, spanning from the Tampa Bay area north and east into parts of Pasco, Polk and Sumter counties. These heavy rains resulted in widespread flash flooding and eventually led to moderate to major river flooding, with some river gauge sites establishing new record crests as a result.|Prior to landfall, at least a dozen tornadoes impacted west central and southwest Florida as outer rainbands moved across the area, establishing a new record number of tornadoes to affect the area in a 24-hour period. The strongest of these tornadoes were two EF-2 tornadoes, one that tracked through the Fort Myers area, and another that tracked across the Lake Placid area. While the tornadoes were responsible for structural and agricultural damage, only an injury was reported.|Milton's overall impacts across the western Florida peninsula resulted in 7 direct fatalities, 4 indirect fatalities, and over $3 billion in insured losses. Over 200 homes were destroyed, with over 2,000 suffering major damage, and 5,000 suffering minor damage. Over 400 businesses were impacted by Milton."
1213112,COASTAL FLAGLER (ZONE), ,45574,100,Hurricane,0,0,18800000,0,FL,EST-5,196055,Z,138,JAX,0,0,Emergency Manager,45575,2300,"Flagler County experience Hurricane force wind gusts mainly along the coast ranging from 45-92 mph which led to downed trees and powerlines as well as roof damage being reported across much of the county. It should be noted the 92 mph wind gust reported at a WeatherStem site at Marineland remains suspect. The combination of heavy rainfall and surge flooding led to extensive flooding across Flagler county. ||Widespread 5-9 inches of rain were reported, with the highest storm total measured at 9.36 inches in Bunnell at 1:10 am on 10/10. On 10/10 at 1:55 am, a mesonet site 1 mile ESE of Flagler Beach measured 5.59 inches of storm total rainfall thus far. On 10/10 at 2:16 am, a mesonet site 3 miles S of Palm Coast had measured 5.51 inches of rainfall. At 3:44 am, the public about 4 miles NW of Flagler Beach measured 5.61 inches of storm total rainfall. ||Storm surge from Milton led to an overwash on A1A in Marineland near Old A1A and in Flagler Beach. Portions of A1A were closed due to sand over the roadway.  Per a professional boat captain, peak storm surge in northeast Palm Coast was 4 ft and 6 inches. On a NWS storm survey, the WCM measured a surge value (marked by a seedline) of 10 inches from the intracoastal waterway on a house along Windward Dr and Intracoastal Dr in Beverly Beach. The Flagler EM reported the salt water canals were 23 inches over the top in Palm Coast. Widespread street flooding, flooded docks, and road closures were reported across Palm Coast and Flagler Beach areas due to heavy rainfall and storm surge. Floodwaters inundated a home along Perthshire Ln in Palm Coast with floodwaters reaching up to a womanï¿½ï¿½ï¿½s ankles. Floodwaters in the streets appeared to reach halfway up a carï¿½ï¿½ï¿½s tire. According to the Flagler Sheriff, a swift water rescue of a family was conducted in Palm Coast when their truck became stranded in floodwaters. On 10/11, a NWS Storm Survey reported ongoing tidal flooding all along South Flagler Avenue to the south of 23rd Street South. A1A in Flagler Beach remained closed. ||Street flooding from rainfall as well as overflow from creeks, canals, and lakes were present across the inland portions of the county. |Multiple buildings in Flagler Beach suffered roof damage, including City Hall. A local motel had its roofsï¿½ï¿½ï¿½ blown off. Numerous trees were reported down across roads and on power lines in Palm Coast. A snapped tree fell on a home along Lloyd Trail in Palm Coast and destroyed the roof.  Another tree fell on a car in the W Section of Palm Coast and totaled the car. Fences were damaged either by strong wind gusts or fallen trees in Palm Coast. A screened enclosure was damaged by a fallen tree along Courtney Pl in Palm Coast. ||The first rainband came through on the morning of Oct. 9th at 1000 am with 1423W Fswn Flagler County Em Marineland measuring a gust of 41 mph.  At 12:40 pm, the same station measured a wind gust of 47 mph. Winds begin to ramp up in the evening of Oct. 9th with peak winds occurring on Oct. 10th between 12-4 AM EDT. Between 7-8 PM EDT on Oct. 9th, 1423W Fswn Flagler County Em Marineland measures gusts beginning with 50 mph to 56 mph. At 9 PM, Fswn Flagler County Em Marineland reported 59 mph wind gusts with sustained winds of 49 mph. At 9:15 PM, FW7349 Flagler Beach observation site reported a wind gust of 50 mph with sustained wind speed of 31 mph. At 9:50 PM, Fswn Flagler County Em Marineland reported a wind gust of 64 mph. At 10:10 PM, 1334W 1.6 E Palm Coast WeatherSTEM station measured a wind gust of 50 mph with sustained wind of 40 mph.  At 10:47 on 10/9, a mesonet site about 1 mile NNE of Palm Coast measured a wind gust of 52 mph.  At 11 pm, a mesonet site 2 miles east of Palm Coast reported a gust of 55 mph and the Marineland mesonet had a gust of 67 mph.  At 11:50 pm, a mesonet site 1 mile ESE of Flagler Beach measured a gust of 60 mph.  At 12 am on 10/10, the Marineland mesonet site |reported a gust of 69 mph and a mesonet site 2 miles east of Palm Coast reported a gust of 58 mph. At 12:20 am, the Marineland mesonet site measured a sustained wind of 57 mph with a gust of 73 mph. At 12:56 am, a spotter in Flagler Beach reported a measured wind gust of 72 mph. At 1:10 am, the mesonet site about 2 miles east of Palm Coast measured a gust of 68 mph. At 1:25 am, a mesonet site about 3 miles ENE of Bunnell reported a sustained wind of 54 mph. At 1:37 am, a spotter in Flagler Beach measured a sustained wind of 48 mph with a gust of 76 mph.  At 1:40 am, the Marineland mesonet station measured a wind gust of 76 mph and then at 1:50 am the site reported a wind gust of 84 mph. ||NOTE: The Marineland mesonet site was on the higher end of observations, even higher than some gusts reported near the eyewall closer to Cape Canaveral. The data is suspect. ||On Oct. 9th at 8 AM, Flagler county issued a mandatory evacuation for residents living in Mobile Homes and RVï¿½ï¿½ï¿½s, and specific areas for their coastal and island communities, including Marineland, Palm Coast and Flagler Beach.||Flagler County Emergency Management reported that the county suffered an estimated $18.8 million in damages.","A tropical disturbance over the southwest Gulf of Mexico quickly developed into Tropical Storm |Milton on Saturday, October 5th. Milton then moved slowly east-southeastward, strengthening into a |hurricane the following day. On Monday, October 7th, the storm underwent rapid intensification, |reaching Category 5 strength as it neared the northwestern coast of Mexico's Yucatï¿½ï¿½n Peninsula. Late |on Monday and into Tuesday, Milton shifted eastward and then northeastward across the |southeastern Gulf of Mexico.| As Milton approached Floridaï¿½ï¿½ï¿½s Gulf coast on Wednesday, October 9th, it began to gradually weaken, |but still maintained major hurricane status. The storm made landfall that evening near Siesta Key on |Floridaï¿½ï¿½ï¿½s west coast as a strong Category 3 hurricane on the Saffir-Simpson Hurricane Wind Scale. |While it weakened further as it crossed central Florida overnight, Milton remained a hurricane. By |early Thursday morning, October 10th, it emerged off Floridaï¿½ï¿½ï¿½s Atlantic coast as a Category 1 storm.| Milton caused widespread impacts across north-central and northeast Florida, as well as coastal |southeast Georgia. Flagler County, along with large portions of St. Johns, Putnam, and Marion |counties, experienced sustained tropical storm-force winds and hurricane-force gusts. Rainfall |amounts ranged from 7 to 11 inches as outer rainbands and the storm's powerful northern side |swept through these areas late Wednesday night into early Thursday morning.| This heavy rainfall caused Deep Creek, a tributary of the St. Johns River in St. Johns County, to reach |record levels on Thursday, October 10th, surpassing the previous record set during Hurricane Irma in |2017. This led to extensive flooding throughout the southern half of St. Johns County, particularly in |the Flagler Estates community and the towns of Hastings and Spuds. Additionally, record flooding was |observed along Haw Creek in western Flagler County, exceeding the previous record set in the |aftermath of Hurricane Ian in 2022.| Storm surge flooding of around 3 feet above Mean Higher High Water (MHHW) was recorded along |the St. Johns River and the northeast Florida coast. Significant inundation was reported along the |lower St. Johns River, with widespread flooding in areas such as Welaka, FL."
1209836,MADISON (ZONE), ,45561,1600,Hurricane,0,0,1000000000,75000000,FL,EST-5,195637,Z,19,TAE,0,0,Official NWS Observations,45562,400,Nearly 100% of Madison county lost power due to widespread trees and power lines down.  Major agriculture losses occurred in the county.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. The Florida Office of Insurance Regulation estimated that Hurricane Helene caused $13.4 billion in insured losses in the state as of October 17.  Uninsured losses were likely higher.  Early estimates from Florida's Department of Agriculture and Consumer Services indicate between $500 million and $800 million in crop and farm infrastructure losses in Florida alone."
1209835,LAFAYETTE (ZONE), ,45561,1600,Hurricane,0,0,1000000000,75000000,FL,EST-5,195637,Z,29,TAE,0,0,Official NWS Observations,45562,400,There were numerous trees and power lines blown down.  Nearly 100% of the county lost power.  Major agriculture losses occurred in the county.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. The Florida Office of Insurance Regulation estimated that Hurricane Helene caused $13.4 billion in insured losses in the state as of October 17.  Uninsured losses were likely higher.  Early estimates from Florida's Department of Agriculture and Consumer Services indicate between $500 million and $800 million in crop and farm infrastructure losses in Florida alone."
1209834,INLAND DIXIE (ZONE), ,45561,1600,Hurricane,1,0,1000000000,75000000,FL,EST-5,195637,Z,34,TAE,0,2,Official NWS Observations,45562,400,One person was killed when a tree fell through their house. Two others died from cardiac arrest. There were 120 people in the mini temporary hospital that was set up. Nearly all customers lost power due to widespread downed power lines and trees.,"Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. The Florida Office of Insurance Regulation estimated that Hurricane Helene caused $13.4 billion in insured losses in the state as of October 17.  Uninsured losses were likely higher.  Early estimates from Florida's Department of Agriculture and Consumer Services indicate between $500 million and $800 million in crop and farm infrastructure losses in Florida alone."
1209832,INLAND TAYLOR (ZONE), ,45561,1600,Hurricane,0,0,1000000000,75000000,FL,EST-5,195637,Z,28,TAE,0,0,Official NWS Observations,45562,400,"Numerous trees and power lines were blown down with nearly 100% of the county losing power.  A mandatory evacuation was ordered for the entire county, and no fatalities or injuries occurred during the storm.  Major agriculture losses also occurred in the county.","Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. The Florida Office of Insurance Regulation estimated that Hurricane Helene caused $13.4 billion in insured losses in the state as of October 17.  Uninsured losses were likely higher.  Early estimates from Florida's Department of Agriculture and Consumer Services indicate between $500 million and $800 million in crop and farm infrastructure losses in Florida alone."
1210032,LOWNDES (ZONE), ,45561,1900,Hurricane,2,77,500000000,100000000,GA,EST-5,195638,Z,160,TAE,0,0,Official NWS Observations,45562,400,"A huge number of trees and power lines were blown down.  Approximately 99% of Lowndes County lost power, and thousands of power lines were down across local roads. Colquitt Electric reported 1000 broken power poles in their service area, mostly in Lowndes and Berrien Counties. The Willis L. Miller Library sustained major damage and will be closed until further notice. The tower at VLD airport had all the windows blown out. Two deaths occurred due to trees falling into homes.  There were also 77 injuries reported. In Valdosta, dozens of homes are now unlivable.","Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgiaï¿½ï¿½ï¿½s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018."
1209829,COASTAL TAYLOR (ZONE), ,45561,1600,Hurricane,0,0,200000000,0,FL,EST-5,195637,Z,128,TAE,0,0,Official NWS Observations,45562,400,"Numerous trees and power lines were blown down.  Nearly 80% of the towns of Keaton Beach and Steinhatchee were destroyed due to a combination of wind and surge.  A mandatory evacuation was ordered for the entire county, and no fatalities or injuries occurred during the storm.","Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. The Florida Office of Insurance Regulation estimated that Hurricane Helene caused $13.4 billion in insured losses in the state as of October 17.  Uninsured losses were likely higher.  Early estimates from Florida's Department of Agriculture and Consumer Services indicate between $500 million and $800 million in crop and farm infrastructure losses in Florida alone."
1210035,BERRIEN (ZONE), ,45561,1900,Hurricane,0,0,100000000,100000000,GA,EST-5,195638,Z,148,TAE,0,0,Official NWS Observations,45562,400,"Colquitt Electric reported 1000 broken power poles in their service area, mostly in Lowndes and Berrien Counties.","Hurricane Helene made landfall as a Category 4 hurricane with maximum sustained winds of 140 mph and a minimum central pressure of 938 mb (27.70 inches) at about 11:10 PM EDT on Thursday, September 26th, in Taylor County Florida just east of the Aucilla River. Helene quickly moved inland across Taylor and Madison Counties before moving into Lowndes County in South Central Georgia. The hurricane produced a devastating storm surge along the coast of Apalachee Bay, exceeding 15 feet above normally dry ground in some locations. A large area of damaging winds extended from the Big Bend coast well-inland into Georgia along the I-75 corridor, causing significant damage. Wind gusts of at least 90 to 100 mph spread inland through Taylor, Madison, Lafayette Counties in Florida, and into Lowndes County in Georgia. Widespread power outages, structural damage, and severe tree damage occurred throughout this area. Significant rainfall also fell with the hurricane, with a maximum of 12 to 14 inches falling west of Tallahassee in the Apalachicola River Basin. Based on preliminary damage assessments conducted by the Georgia Department of Agriculture, the Georgia Forestry Commission, and the University of Georgia, Hurricane Helene left behind an estimated $6.46 billion in damage to Georgiaï¿½ï¿½ï¿½s agriculture and forestry industries, more than three times the damage from Hurricane Michael in 2018."
